Date;Close;Open;High;Low;Variation;
Mar 25, 2016;1.1166;1.1173;1.1189;1.1150;-0,07 %;
Mar 24, 2016;1.1174;1.1178;1.1188;1.1142;-0,09 %;
Mar 23, 2016;1.1184;1.1217;1.1224;1.1157;-0,29 %;
Mar 22, 2016;1.1217;1.1242;1.1263;1.1187;-0,21 %;
Mar 21, 2016;1.1241;1.1268;1.1286;1.1233;-0,26 %;
Mar 18, 2016;1.1270;1.1316;1.1339;1.1254;-0,43 %;
Mar 17, 2016;1.1319;1.1222;1.1344;1.1203;0,84 %;
Mar 16, 2016;1.1225;1.1107;1.1245;1.1055;1,04 %;
Mar 15, 2016;1.1109;1.1099;1.1125;1.1070;0,03 %;
Mar 14, 2016;1.1106;1.1149;1.1177;1.1074;-0,42 %;
Mar 11, 2016;1.1153;1.1174;1.1212;1.1078;-0,21 %;
Mar 10, 2016;1.1177;1.0997;1.1218;1.0820;1,62 %;
Mar 09, 2016;1.0999;1.1010;1.1037;1.0944;-0,11 %;
Mar 08, 2016;1.1011;1.1012;1.1059;1.0990;-0,03 %;
Mar 07, 2016;1.1014;1.1006;1.1027;1.0938;0,09 %;
Mar 04, 2016;1.1004;1.0955;1.1045;1.0900;0,43 %;
Mar 03, 2016;1.0957;1.0865;1.0974;1.0851;0,82 %;
Mar 02, 2016;1.0868;1.0866;1.0881;1.0823;0,01 %;
Mar 01, 2016;1.0867;1.0870;1.0896;1.0832;-0,06 %;
Feb 29, 2016;1.0873;1.0930;1.0964;1.0856;-0,56 %;
Feb 26, 2016;1.0934;1.1017;1.1071;1.0910;-0,81 %;
Feb 25, 2016;1.1023;1.1011;1.1052;1.0985;0,09 %;
Feb 24, 2016;1.1013;1.1017;1.1047;1.0955;-0,06 %;
Feb 23, 2016;1.1020;1.1027;1.1055;1.0987;-0,08 %;
Feb 22, 2016;1.1029;1.1125;1.1137;1.1000;-0,95 %;
Feb 19, 2016;1.1135;1.1105;1.1140;1.1064;0,25 %;
Feb 18, 2016;1.1107;1.1126;1.1153;1.1068;-0,19 %;
Feb 17, 2016;1.1128;1.1142;1.1180;1.1103;-0,14 %;
Feb 16, 2016;1.1144;1.1152;1.1196;1.1120;-0,10 %;
Feb 15, 2016;1.1155;1.1249;1.1253;1.1125;-0,93 %;
Feb 12, 2016;1.1260;1.1325;1.1335;1.1212;-0,57 %;
Feb 11, 2016;1.1324;1.1289;1.1378;1.1271;0,30 %;
Feb 10, 2016;1.1290;1.1291;1.1311;1.1158;-0,03 %;
Feb 09, 2016;1.1293;1.1195;1.1339;1.1161;0,85 %;
Feb 08, 2016;1.1198;1.1156;1.1218;1.1084;0,35 %;
Feb 05, 2016;1.1159;1.1206;1.1246;1.1107;-0,44 %;
Feb 04, 2016;1.1208;1.1102;1.1240;1.1068;0,94 %;
Feb 03, 2016;1.1104;1.0916;1.1146;1.0902;1,69 %;
Feb 02, 2016;1.0919;1.0888;1.0943;1.0882;0,28 %;
Feb 01, 2016;1.0889;1.0831;1.0915;1.0812;0,48 %;
Jan 29, 2016;1.0837;1.0936;1.0951;1.0809;-0,93 %;
Jan 28, 2016;1.0939;1.0889;1.0969;1.0867;0,42 %;
Jan 27, 2016;1.0893;1.0869;1.0917;1.0849;0,19 %;
Jan 26, 2016;1.0872;1.0847;1.0876;1.0817;0,21 %;
Jan 25, 2016;1.0849;1.0797;1.0858;1.0786;0,48 %;
Jan 22, 2016;1.0797;1.0871;1.0879;1.0787;-0,71 %;
Jan 21, 2016;1.0874;1.0891;1.0922;1.0777;-0,16 %;
Jan 20, 2016;1.0891;1.0908;1.0977;1.0875;-0,16 %;
Jan 19, 2016;1.0909;1.0889;1.0941;1.0858;0,15 %;
Jan 18, 2016;1.0893;1.0916;1.0940;1.0867;-0,22 %;
Jan 15, 2016;1.0917;1.0863;1.0987;1.0852;0,48 %;
Jan 14, 2016;1.0865;1.0878;1.0945;1.0833;-0,11 %;
Jan 13, 2016;1.0877;1.0854;1.0891;1.0803;0,18 %;
Jan 12, 2016;1.0857;1.0856;1.0903;1.0818;-0,03 %;
Jan 11, 2016;1.0860;1.0922;1.0969;1.0846;-0,66 %;
Jan 08, 2016;1.0932;1.0931;1.0936;1.0801;-0,04 %;
Jan 07, 2016;1.0936;1.0778;1.0941;1.0769;1,44 %;
Jan 06, 2016;1.0781;1.0746;1.0802;1.0718;0,31 %;
Jan 05, 2016;1.0748;1.0829;1.0840;1.0709;-0,78 %;
Jan 04, 2016;1.0832;1.0856;1.0949;1.0780;-0,26 %;
Jan 01, 2016;1.0860;1.0860;1.0869;1.0843;0,00 %;
Dec 31, 2015;1.0860;1.0932;1.0938;1.0850;-0,67 %;
Dec 30, 2015;1.0933;1.0917;1.0947;1.0900;0,15 %;
Dec 29, 2015;1.0917;1.0967;1.0992;1.0898;-0,46 %;
Dec 28, 2015;1.0968;1.0962;1.0995;1.0948;-0,08 %;
Dec 25, 2015;1.0977;1.0969;1.0979;1.0941;0,04 %;
Dec 24, 2015;1.0973;1.0909;1.0976;1.0899;0,58 %;
Dec 23, 2015;1.0910;1.0954;1.0958;1.0869;-0,41 %;
Dec 22, 2015;1.0955;1.0913;1.0984;1.0901;0,37 %;
Dec 21, 2015;1.0915;1.0861;1.0940;1.0846;0,43 %;
Dec 18, 2015;1.0868;1.0825;1.0877;1.0803;0,40 %;
Dec 17, 2015;1.0825;1.0914;1.0916;1.0799;-0,81 %;
Dec 16, 2015;1.0913;1.0931;1.1007;1.0886;-0,14 %;
Dec 15, 2015;1.0928;1.0991;1.1059;1.0903;-0,58 %;
Dec 14, 2015;1.0992;1.0983;1.1050;1.0944;0,02 %;
Dec 11, 2015;1.0990;1.0940;1.1033;1.0924;0,46 %;
Dec 10, 2015;1.0940;1.1026;1.1029;1.0924;-0,77 %;
Dec 09, 2015;1.1025;1.0888;1.1041;1.0877;1,20 %;
Dec 08, 2015;1.0894;1.0835;1.0901;1.0827;0,54 %;
Dec 07, 2015;1.0836;1.0858;1.0888;1.0794;-0,46 %;
Dec 04, 2015;1.0886;1.0937;1.0958;1.0834;-0,50 %;
Dec 03, 2015;1.0941;1.0613;1.0983;1.0538;3,07 %;
Dec 02, 2015;1.0615;1.0629;1.0644;1.0549;-0,16 %;
Dec 01, 2015;1.0632;1.0566;1.0637;1.0561;0,64 %;
Nov 30, 2015;1.0564;1.0589;1.0596;1.0556;-0,27 %;
Nov 27, 2015;1.0593;1.0607;1.0640;1.0567;-0,17 %;
Nov 26, 2015;1.0611;1.0626;1.0634;1.0598;-0,15 %;
Nov 25, 2015;1.0627;1.0641;1.0690;1.0565;-0,13 %;
Nov 24, 2015;1.0641;1.0633;1.0674;1.0619;0,05 %;
Nov 23, 2015;1.0636;1.0645;1.0658;1.0591;-0,09 %;
Nov 20, 2015;1.0646;1.0733;1.0745;1.0638;-0,82 %;
Nov 19, 2015;1.0734;1.0655;1.0764;1.0652;0,70 %;
Nov 18, 2015;1.0659;1.0639;1.0694;1.0615;0,14 %;
Nov 17, 2015;1.0644;1.0687;1.0696;1.0629;-0,40 %;
Nov 16, 2015;1.0687;1.0749;1.0780;1.0672;-0,85 %;
Nov 13, 2015;1.0779;1.0813;1.0818;1.0713;-0,35 %;
Nov 12, 2015;1.0817;1.0743;1.0829;1.0689;0,68 %;
